t,sid,x,y,trial,SID,onset,offset,camera_onset,webcam_onset,camera_lag,webcam_length,condition,Morph,x_or_y,correct_side
192.03300000000007,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.0660000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.10000000000008,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.1330000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.16600000000005,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.20000000000005,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.23300000000006,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.26600000000008,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.2990000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.33300000000008,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.3660000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.39900000000006,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.43300000000005,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.46600000000007,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.50000000000006,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.53300000000007,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.5660000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.59900000000005,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.6330000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.66600000000005,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.70000000000005,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.73300000000006,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.76600000000008,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.7990000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.83300000000008,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
192.8660000000001,020218_01,NA,NA,1,020218_01,192.03199999999998,196.01,70.924,108.528,37.604,512.267,2,70,X,L
